send,receive,expSetId,intro,専攻 0:y 1: n,ピアノ経験,音楽経験,intro,ba_1,pr_2,pr_1,po_2,ba_3,po_3,hu_3,pr_3,ba_0,pr_0,ba_2,po_1,hu_0,hu_2,hu_1,po_0,intro,32hu_1,32hu_2,32pr_3,32pr_0,32pr_2,32hu_3,32pr_1,32hu_0,intro
2023/06/01 12:14,2023-6-1 12:14:05,1,## INTRODUCTION ##,1,0,1,なし,## INTRODUCTION ##,1,1,,,,,,,,,,,,,,,,,,,,,,,
2024/12/14 14:57,2024-12-14 14:57:30,1,0,543,## INTRODUCTION ##,## INTRODUCTION ##,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/12/24 18:09,2024-12-24 18:09:08,1,## INTRODUCTION ##,0,0,0,## INTRODUCTION ##,243,145,## INTRODUCTION ##,## INTRODUCTION ##,,,,,,,,,,,,,,,,,,,,,,
2024/12/25 16:13,2024-12-25 16:13:09,-10,## INTRODUCTION ##,1,0,0,## INTRODUCTION ##,333,443,345,254,254,254,434,444,243,243,453,423,134,423,243,335,## INTRODUCTION ##,2424,3543,3434,2533,3533,4152,1551,2534,## INTRODUCTION ##
2024/12/25 16:55,2024-12-25 16:55:53,-1,## INTRODUCTION ##,0,1,1,## INTRODUCTION ##,243,234,234,234,432,234,234,234,234,234,123,234,234,123,123,345,## INTRODUCTION ##,2345,2345,1234,2345,2344,2223,4334,2345,## INTRODUCTION ##
2024/12/25 17:24,2024-12-25 17:24:15,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,542,343,554,325,454,445,243,143,212,313,555,444,223,444,554,## INTRODUCTION ##,5435,5555,3344,5445,3345,5555,3534,5555,## INTRODUCTION ##
2024/12/25 17:46,2024-12-25 17:45:59,0,## INTRODUCTION ##,0,0,1,## INTRODUCTION ##,334,333,443,444,323,334,455,432,334,332,223,343,344,432,323,444,## INTRODUCTION ##,3354,2343,3155,3255,3344,5455,3344,4554,## INTRODUCTION ##
2024/12/25 17:46,2024-12-25 17:46:48,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,333,244,422,424,124,233,543,542,324,323,223,442,444,553,435,454,## INTRODUCTION ##,4353,4355,4324,3314,2323,5344,3424,4454,## INTRODUCTION ##
2024/12/25 18:03,2024-12-25 18:03:22,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,444,555,554,223,344,334,442,234,444,333,455,555,442,334,444,## INTRODUCTION ##,4444,4544,3323,4324,2233,4455,2333,5555,## INTRODUCTION ##
2024/12/25 18:10,2024-12-25 18:11:00,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,232,444,545,555,322,544,555,432,222,322,332,554,544,543,544,545,## INTRODUCTION ##,5455,5555,5345,5555,3355,5555,5555,3433,## INTRODUCTION ##
2024/12/25 18:31,2024-12-25 18:31:28,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,433,321,334,443,333,443,223,333,243,332,333,234,444,344,343,334,## INTRODUCTION ##,3444,3423,4223,4433,3444,4444,2333,3544,## INTRODUCTION ##
2024/12/25 18:35,2024-12-25 18:35:01,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,344,455,555,443,233,444,444,545,334,444,233,444,545,443,444,444,## INTRODUCTION ##,4444,4444,3344,4344,4344,3443,4343,3344,## INTRODUCTION ##
2024/12/25 19:09,2024-12-25 19:09:26,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,112,543,554,243,122,243,455,232,122,232,121,234,353,455,555,234,## INTRODUCTION ##,4545,4455,1212,4524,3243,5555,2312,2332,## INTRODUCTION ##
2024/12/25 19:49,2024-12-25 19:49:29,1,## INTRODUCTION ##,1,1,0,## INTRODUCTION ##,344,453,454,354,343,454,554,444,245,332,234,344,553,243,443,555,## INTRODUCTION ##,5433,3544,1334,4414,2332,5555,2423,3534,## INTRODUCTION ##
2024/12/25 19:59,2024-12-25 19:59:29,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,234,544,543,445,223,455,544,354,123,233,233,345,554,444,443,354,## INTRODUCTION ##,5454,5455,3423,3424,2223,5555,2333,5455,## INTRODUCTION ##
2024/12/25 21:29,2024-12-25 21:29:46,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,111,221,443,342,111,344,554,543,222,111,111,455,555,542,553,555,## INTRODUCTION ##,2345,5545,2245,2125,2244,4455,1122,4455,## INTRODUCTION ##
2024/12/25 21:50,2024-12-25 21:50:27,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,224,432,333,443,223,454,433,322,222,222,324,223,533,333,544,333,## INTRODUCTION ##,3333,5444,3354,3333,2332,4444,3333,4444,## INTRODUCTION ##
2024/12/25 22:22,2024-12-25 22:22:32,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,442,433,432,243,333,344,244,232,344,222,444,244,244,244,233,355,## INTRODUCTION ##,5455,3244,3243,3242,4344,5555,3343,4443,## INTRODUCTION ##
2024/12/26 9:05,2024-12-26 9:05:23,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,234,332,443,322,322,222,233,333,443,333,444,333,234,224,233,254,## INTRODUCTION ##,3434,3434,3222,2344,3233,2433,3332,2223,## INTRODUCTION ##
2024/12/26 12:30,2024-12-26 12:30:09,0,## INTRODUCTION ##,1,1,0,## INTRODUCTION ##,243,241,542,233,234,233,242,351,222,242,125,443,452,541,231,442,## INTRODUCTION ##,4434,4544,3325,4345,3233,4554,2324,4554,## INTRODUCTION ##
2024/12/26 12:47,2024-12-26 12:47:25,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,223,322,444,344,334,344,344,433,333,223,233,344,444,454,554,445,## INTRODUCTION ##,2233,3343,4344,4523,3444,5555,3434,4544,## INTRODUCTION ##
2024/12/26 12:50,2024-12-26 12:50:31,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,443,444,454,323,444,454,443,233,233,233,344,443,333,444,444,## INTRODUCTION ##,4444,4354,3434,4434,3333,5555,3334,4555,## INTRODUCTION ##
2024/12/26 13:45,2024-12-26 13:45:21,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,442,542,243,233,454,455,333,233,232,234,444,454,333,443,454,## INTRODUCTION ##,4453,4545,3325,5434,3324,5544,3334,3434,## INTRODUCTION ##
2024/12/26 14:21,2024-12-26 14:21:37,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,444,544,333,223,334,444,432,233,433,233,244,554,455,555,333,## INTRODUCTION ##,4344,5545,3434,3323,2322,4555,3432,3333,## INTRODUCTION ##
2024/12/26 15:56,2024-12-26 15:56:51,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,332,233,434,223,344,553,432,224,243,124,254,453,442,532,535,## INTRODUCTION ##,5535,4445,2314,5434,3344,5455,4524,4344,## INTRODUCTION ##
2024/12/26 17:09,2024-12-26 17:09:24,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,332,553,232,333,454,444,552,453,345,452,233,433,553,434,442,## INTRODUCTION ##,3334,4422,4422,3323,4423,4444,3323,3333,## INTRODUCTION ##
2024/12/26 17:31,2024-12-26 17:31:44,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,234,422,542,543,223,543,443,432,213,233,124,333,443,432,543,433,## INTRODUCTION ##,2323,4455,4444,4455,3332,5544,3332,4433,## INTRODUCTION ##
2024/12/26 20:33,2024-12-26 20:33:52,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,324,431,443,555,344,455,345,443,124,222,223,335,445,454,432,224,## INTRODUCTION ##,3444,4544,4244,4344,3234,4545,2234,4535,## INTRODUCTION ##
2024/12/26 20:46,2024-12-26 20:46:49,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,432,544,335,223,455,554,433,223,333,324,455,454,455,443,355,## INTRODUCTION ##,4425,5525,5425,4425,4325,5525,3425,4424,## INTRODUCTION ##
2024/12/26 23:25,2024-12-26 23:25:07,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,222,332,432,334,223,354,334,444,222,232,222,453,554,554,555,333,## INTRODUCTION ##,2223,2334,3223,3223,2323,2244,2223,3444,## INTRODUCTION ##
2024/12/27 0:12,2024-12-27 0:12:28,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,324,343,444,335,224,445,454,232,334,222,324,433,455,433,334,444,## INTRODUCTION ##,3434,2442,3325,3325,4424,4554,1224,2344,## INTRODUCTION ##
2024/12/27 9:32,2024-12-27 9:32:00,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,221,442,442,344,333,455,555,332,222,232,333,344,555,555,544,555,## INTRODUCTION ##,5544,5555,5535,4424,4444,5555,4434,5555,## INTRODUCTION ##
2024/12/27 11:57,2024-12-27 11:57:00,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,433,111,211,444,234,534,432,342,154,345,341,454,333,123,445,545,## INTRODUCTION ##,5555,4545,5455,2415,5555,5555,3345,4555,## INTRODUCTION ##
2024/12/27 11:59,2024-12-27 11:59:07,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,342,231,442,453,111,551,551,442,232,331,123,542,453,331,244,555,## INTRODUCTION ##,3334,4515,4414,4415,2415,5545,2215,5545,## INTRODUCTION ##
2024/12/27 13:25,2024-12-27 13:25:29,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,323,443,544,333,213,444,545,343,222,222,223,434,554,555,555,344,## INTRODUCTION ##,4544,4554,3323,3444,3222,5555,1214,4545,## INTRODUCTION ##
2024/12/27 13:52,2024-12-27 13:52:27,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,443,344,444,445,345,444,544,444,344,343,345,344,445,554,345,444,## INTRODUCTION ##,4433,4444,4443,3444,4435,4445,4444,4444,## INTRODUCTION ##
2024/12/27 13:57,2024-12-27 13:57:10,1,## INTRODUCTION ##,0,0,1,## INTRODUCTION ##,234,442,344,245,123,355,354,343,234,333,224,244,354,433,334,245,## INTRODUCTION ##,3334,4454,4344,3323,2323,3454,3434,3444,## INTRODUCTION ##
2024/12/27 15:58,2024-12-27 15:58:46,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,222,432,543,554,323,555,553,323,122,122,123,344,443,332,444,334,## INTRODUCTION ##,5555,3445,2244,3325,3325,5555,4435,5545,## INTRODUCTION ##
2024/12/27 16:25,2024-12-27 16:25:43,0,## INTRODUCTION ##,1,1,0,## INTRODUCTION ##,223,232,543,335,123,344,554,543,223,232,222,454,555,543,455,545,## INTRODUCTION ##,5555,4444,2323,2212,2323,4544,3323,4534,## INTRODUCTION ##
2024/12/27 17:06,2024-12-27 17:06:32,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,334,433,343,344,323,334,444,223,222,222,233,223,453,343,433,443,## INTRODUCTION ##,4333,4444,2233,4334,2223,4454,2233,2243,## INTRODUCTION ##
2024/12/27 17:57,2024-12-27 17:57:48,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,343,453,553,554,234,553,553,553,453,353,243,555,553,554,553,553,## INTRODUCTION ##,5555,5555,5555,5555,5535,5555,5535,5555,## INTRODUCTION ##
2024/12/27 18:56,2024-12-27 18:56:31,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,222,332,443,543,432,432,443,443,342,432,422,432,453,433,443,333,## INTRODUCTION ##,3344,3334,4344,4434,4344,2323,3344,3232,## INTRODUCTION ##
2024/12/27 19:38,2024-12-27 19:38:24,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,431,232,344,244,122,232,144,233,332,322,222,343,324,222,223,343,## INTRODUCTION ##,3432,3434,4333,3324,3233,3434,3323,3433,## INTRODUCTION ##
2024/12/27 20:05,2024-12-27 20:05:22,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,222,333,233,444,434,445,234,422,333,233,333,244,234,222,222,222,## INTRODUCTION ##,3333,3333,3333,3333,3333,3433,3333,2233,## INTRODUCTION ##
2024/12/27 20:20,2024-12-27 20:20:58,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,324,223,344,223,123,133,433,442,123,223,112,123,333,442,223,223,## INTRODUCTION ##,3334,4544,2322,3333,2323,3334,3323,1432,## INTRODUCTION ##
2024/12/27 21:08,2024-12-27 21:08:29,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,223,333,443,232,122,221,453,332,233,322,133,433,334,322,233,444,## INTRODUCTION ##,3333,3233,2232,2222,3432,4544,3223,4334,## INTRODUCTION ##
2024/12/27 22:37,2024-12-27 22:37:43,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,323,222,443,444,343,244,453,534,433,453,333,344,333,333,443,443,## INTRODUCTION ##,3333,4443,3233,3423,3233,3443,3423,2333,## INTRODUCTION ##
2024/12/27 23:28,2024-12-27 23:28:05,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,243,552,553,555,344,555,554,543,444,322,343,455,554,344,455,554,## INTRODUCTION ##,5545,5545,5325,4535,3525,5555,4525,5555,## INTRODUCTION ##
2024/12/27 23:42,2024-12-27 23:42:02,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,332,333,544,354,214,213,441,551,443,542,244,443,334,551,332,344,## INTRODUCTION ##,4445,2251,2215,4525,2215,4544,3225,3445,## INTRODUCTION ##
2024/12/28 9:53,2024-12-28 9:53:23,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,442,442,533,555,443,343,445,432,334,332,324,344,444,322,354,445,## INTRODUCTION ##,3333,4344,3214,3322,4423,3453,3214,4544,## INTRODUCTION ##
2024/12/28 10:48,2024-12-28 10:48:34,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,553,442,554,124,454,443,332,123,122,222,244,554,443,555,344,## INTRODUCTION ##,5555,4455,3334,5544,3334,5555,5535,4555,## INTRODUCTION ##
2024/12/28 15:30,2024-12-28 15:30:12,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,233,344,443,455,245,255,554,533,244,333,223,443,555,554,445,555,## INTRODUCTION ##,5555,3344,3334,4334,2333,4545,3323,4555,## INTRODUCTION ##
2024/12/28 19:23,2024-12-28 19:23:04,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,224,443,453,454,122,333,554,433,244,332,112,444,443,554,444,333,## INTRODUCTION ##,3434,5412,4324,3235,4324,3453,4234,5554,## INTRODUCTION ##
2024/12/28 21:29,2024-12-28 21:29:38,1,## INTRODUCTION ##,0,0,0,## INTRODUCTION ##,221,542,455,335,243,455,555,332,223,312,224,323,554,554,555,113,## INTRODUCTION ##,5545,5555,3435,5334,2321,4533,2311,2432,## INTRODUCTION ##
2024/12/29 13:01,2024-12-29 13:01:22,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,332,332,443,553,333,554,553,443,454,444,344,455,554,444,543,554,## INTRODUCTION ##,4424,4434,3334,4324,4434,4534,3424,4424,## INTRODUCTION ##
2024/12/29 20:58,2024-12-29 20:58:04,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,555,553,553,555,554,555,555,553,455,455,555,555,554,553,554,555,## INTRODUCTION ##,5555,5555,5455,5555,5554,5555,5355,5555,## INTRODUCTION ##
2024/12/29 23:45,2024-12-29 23:45:39,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,123,333,543,344,122,233,545,532,112,211,112,333,545,543,544,554,## INTRODUCTION ##,4345,4545,3244,2122,4234,4355,3224,5455,## INTRODUCTION ##
2024/12/29 23:58,2024-12-29 23:58:37,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,245,542,553,554,235,554,552,532,245,533,345,554,554,433,543,455,## INTRODUCTION ##,5455,5455,4334,5435,3433,5555,2424,5555,## INTRODUCTION ##
2024/12/30 0:12,2024-12-30 0:12:13,1,## INTRODUCTION ##,1,0,0,## INTRODUCTION ##,234,555,344,345,111,454,555,543,231,442,445,555,545,445,555,443,## INTRODUCTION ##,5555,5555,4543,3453,4534,5545,4554,5444,## INTRODUCTION ##
2024/12/30 13:50,2024-12-30 13:49:58,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,324,443,444,555,123,233,554,422,322,412,112,554,555,531,323,432,## INTRODUCTION ##,4233,3433,3234,3233,2223,5554,3233,3434,## INTRODUCTION ##
2024/12/30 14:06,2024-12-30 14:06:19,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,332,442,442,224,223,244,544,552,442,443,233,453,454,442,554,332,## INTRODUCTION ##,5555,5544,2454,4444,3425,4545,2333,3535,## INTRODUCTION ##
2024/12/30 14:51,2024-12-30 14:51:40,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,433,433,555,433,335,433,444,554,333,433,333,333,445,555,455,555,## INTRODUCTION ##,4444,3333,4333,4434,4434,4555,4434,4455,## INTRODUCTION ##
2024/12/30 18:46,2024-12-30 18:46:01,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,334,444,555,555,224,455,555,433,234,433,234,544,555,543,555,555,## INTRODUCTION ##,4434,5555,5544,5555,4434,5555,5434,5555,## INTRODUCTION ##
2024/12/30 20:50,2024-12-30 20:50:20,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,121,411,421,442,122,444,554,311,124,211,212,421,422,422,211,455,## INTRODUCTION ##,4334,4322,3121,2233,2143,1113,2223,2211,## INTRODUCTION ##
2024/12/30 23:46,2024-12-30 23:45:58,1,## INTRODUCTION ##,1,0,0,## INTRODUCTION ##,213,333,332,323,114,324,443,211,114,112,112,323,444,132,543,123,## INTRODUCTION ##,3334,4454,2323,4224,1133,4355,2223,4455,## INTRODUCTION ##
2024/12/30 23:53,2024-12-30 23:53:51,1,## INTRODUCTION ##,1,0,0,## INTRODUCTION ##,124,333,234,345,345,545,545,333,333,343,234,345,554,455,555,455,## INTRODUCTION ##,4454,4455,2333,3322,1212,5545,4423,3344,## INTRODUCTION ##
2024/12/31 1:16,2024-12-31 1:16:50,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,111,511,333,553,222,543,543,333,222,222,222,333,533,433,433,433,## INTRODUCTION ##,4344,4344,4344,4344,4344,4344,3344,4344,## INTRODUCTION ##
2024/12/31 3:36,2024-12-31 3:36:48,0,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,554,553,453,553,334,543,554,552,335,552,434,554,553,552,554,554,## INTRODUCTION ##,4544,4555,3324,3333,3344,4455,3333,4455,## INTRODUCTION ##
2024/12/31 4:52,2024-12-31 4:52:31,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,434,443,554,434,344,224,445,553,334,443,334,445,445,553,444,444,## INTRODUCTION ##,4445,5555,5545,5555,4454,4435,4445,5545,## INTRODUCTION ##
2024/12/31 8:13,2024-12-31 8:13:05,1,## INTRODUCTION ##,1,0,1,## INTRODUCTION ##,224,444,344,455,234,344,545,323,234,234,334,455,443,432,444,554,## INTRODUCTION ##,4335,4455,3334,4345,2334,5555,4445,4554,## INTRODUCTION ##
2024/12/31 16:47,2024-12-31 16:47:12,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,342,444,555,443,332,555,444,533,333,322,322,443,455,445,445,445,## INTRODUCTION ##,4344,4444,3433,5445,4434,5555,4435,5445,## INTRODUCTION ##
2024/12/31 17:18,2024-12-31 17:18:57,1,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,233,443,555,555,223,555,555,444,223,334,334,455,555,345,555,345,## INTRODUCTION ##,5545,5555,4555,3345,3333,5555,2224,4555,## INTRODUCTION ##
2024/12/31 23:24,2024-12-31 23:24:30,0,## INTRODUCTION ##,1,1,1,## INTRODUCTION ##,333,343,443,345,223,454,334,344,433,444,333,444,455,344,435,454,## INTRODUCTION ##,4444,4544,3343,4544,3433,4544,3443,4545,## INTRODUCTION ##